GEOID,NAME,area,estimate,ratio,density
6075,"San Francisco County, California",232.49709348292603,757415,1.0408567440707468,3257.739650218993
6081,"San Mateo County, California",743.3650172169632,607919,0.9586092021792431,817.7933934474736
6001,"Alameda County, California",823.3735265309762,1312727,0.9473079136776024,1594.3274318410015
6039,"Madera County, California",2161.238868003876,112580,0.8973624336395045,52.09049386751918
6107,"Tulare County, California",4868.4347867549905,318740,0.9799237200750376,65.47073422184077
6037,"Los Angeles County, California",4812.490811069076,7866810,0.9517762908159848,1634.6649393918362
6093,"Siskiyou County, California",6347.801447963726,34642,0.9778475592349415,5.45732255237955
6025,"Imperial County, California",4560.28443354644,128848,1.0585378323108385,28.254377962077587
6041,"Marin County, California",829.9361742524269,207310,0.9372231670622535,249.79029283394775
6069,"San Benito County, California",1397.6088254521778,44698,0.9965159907093085,31.981767133975097
6031,"Kings County, California",1400.633661235653,109652,1.307151724283039,78.28742306768774
6083,"Santa Barbara County, California",3833.0344224444757,345645,0.9930862289674897,90.17529244612645
6029,"Kern County, California",8234.294434202857,629552,1.0583011835480285,76.45488086811963
6059,"Orange County, California",962.1803265571145,2463536,0.9553471434569651,2560.368292724353
6027,"Inyo County, California",10282.466448459654,14368,0.9980531219580031,1.3973301125774518
6061,"Placer County, California",1503.3444516113254,299181,0.929577555627217,199.01027983262895
6091,"Sierra County, California",962.4172120875447,2558,1.1370091896407686,2.6578909519412415
6055,"Napa County, California",789.6509548092762,110422,0.9746070349242681,139.83646740054934
6085,"Santa Clara County, California",1308.8420704271434,1499088,1.0143238369608742,1145.3543814577793
6099,"Stanislaus County, California",1518.4681239715915,395571,0.9589026171787951,260.50662095255194
6053,"Monterey County, California",3794.2385302269317,319541,1.0390073637326596,84.21742530269661
6079,"San Luis Obispo County, California",3646.689254978545,231989,1.024619493122949,63.61633355057145
6019,"Fresno County, California",6039.882104219222,703677,0.9775428992170506,116.50508865205153
6033,"Lake County, California",1330.368631506539,50795,0.9810842433697348,38.18114678672077
6017,"El Dorado County, California",1788.2548298609247,150641,0.9775648178536265,84.23911261669322
6097,"Sonoma County, California",1770.4136973151953,400582,0.9340388756385126,226.26462990400285
6095,"Solano County, California",907.8477971061033,342990,0.9736683104791608,377.80562016378786
6113,"Yolo County, California",1024.773540630974,171326,0.9208888789227613,167.18425408847997
6067,"Sacramento County, California",995.8663806074501,1161377,0.9306954065695482,1166.1976170855303
6009,"Calaveras County, California",1038.8639264982455,37703,0.9828030502235078,36.29252978981331
6111,"Ventura County, California",2235.3380326727543,650476,0.9643356495532142,290.9967040744336
6089,"Shasta County, California",3846.641825951138,140533,0.9436407391015711,36.533944764990224
6007,"Butte County, California",1677.4825969376486,180378,0.9596931902133762,107.52898440156191
6115,"Yuba County, California",644.3506614285095,55282,1.0188438082021691,85.79489912750485
6057,"Nevada County, California",974.2817372549646,82145,0.9551816061312896,84.31339402034082
6077,"San Joaquin County, California",1430.0449473415138,539902,0.972194318318801,377.5419793648376
6005,"Amador County, California",606.8603406679681,32582,1.1886209444481763,53.68945343196617
6047,"Merced County, California",1986.0989393871448,190923,1.006252364339456,96.1296520599893
6051,"Mono County, California",3139.1740281380835,11639,1.098629642985936,3.7076631928250756
6073,"San Diego County, California",4606.510558424564,2593335,1.0049192646847356,562.9716826019662
6023,"Humboldt County, California",4051.6099705404604,109803,0.9810738642514344,27.10107853381379
6021,"Glenn County, California",1327.3110381126153,20491,1.0008788204276926,15.437979050590437
6035,"Lassen County, California",4719.29147799062,26216,2.1343854615016737,5.555071163174318
6043,"Mariposa County, California",1467.1552776035371,14580,1.0380206877271456,9.9375984413968
6109,"Tuolumne County, California",2279.3588867116814,45058,1.0946492492213287,19.767839221230734
6065,"Riverside County, California",7410.418211940231,1797290,0.9758386340000483,242.53556932914654
6015,"Del Norte County, California",1229.7386850560276,21575,1.181937702265372,17.544377730149254
6103,"Tehama County, California",2962.017515189853,48654,0.9761982128350934,16.42596633898753
6063,"Plumas County, California",2613.459530749357,15543,0.9970448413208275,5.94728933703571
6087,"Santa Cruz County, California",609.6687410627331,220841,0.9664045874255389,362.23113491934157
6013,"Contra Costa County, California",805.9355251725628,881048,0.9323643525616141,1093.1991114442492
6045,"Mendocino County, California",3879.766964032611,68522,0.9697021961595953,17.661370034652432
6049,"Modoc County, California",4203.155618683526,7155,1.062554050158547,1.7022924319516448
6003,"Alpine County, California",744.1513798018345,838,1.154241645244216,1.126114958253732
6071,"San Bernardino County, California",20316.790855099887,1577463,0.9719766482486186,77.64331538629921
6105,"Trinity County, California",3207.077135602248,10534,1.0434529582929195,3.284610738875119
6011,"Colusa County, California",1157.069431437358,15612,1.0496258369436786,13.492708022375243
6101,"Sutter County, California",608.8828549973283,71050,0.9662921348314607,116.68911255566846
